episode,grevlex_mean_reward,grevlex_mean_time_s,deglex_mean_reward,deglex_mean_time_s
1,-127.15428958801574,0.0015009641647338867,-203.05096527385302,0.002210521697998047
2,-126.88015038922383,0.0014491558074951171,-202.8717893269302,0.0021467208862304688
3,-126.78877065629322,0.0014358758926391602,-202.603025406546,0.0021454334259033204
4,-126.88015038922386,0.0014441728591918946,-202.6926133800074,0.002143526077270508
5,-126.69739092336258,0.001432657241821289,-202.603025406546,0.0021465778350830077
6,-126.69739092336258,0.0014667510986328125,-202.8717893269302,0.002178859710693359
7,-126.78877065629322,0.001474618911743164,-202.6926133800074,0.002196598052978516
8,-126.60601119043194,0.0014536142349243163,-202.5134374330846,0.002159428596496582
9,-126.78877065629322,0.001469588279724121,-202.8717893269302,0.0021600246429443358
10,-126.51463145750131,0.0014827251434326172,-202.6926133800074,0.0022070884704589845
11,-126.60601119043194,0.004950594902038574,-202.6926133800074,0.0021700620651245116
12,-126.51463145750131,0.0014492988586425782,-202.6926133800074,0.002157855033874512
13,-126.69739092336258,0.0014613866806030273,-202.6926133800074,0.002145218849182129
14,-126.60601119043194,0.001470947265625,-202.603025406546,0.0022055864334106444
15,-126.69739092336258,0.0014604806900024414,-202.603025406546,0.005411577224731445
16,-126.60601119043194,0.0014481067657470704,-202.5134374330846,0.002166938781738281
17,-126.69739092336258,0.0014619827270507812,-202.603025406546,0.0021717071533203123
18,-126.51463145750131,0.0014571905136108398,-202.603025406546,0.0021661043167114256
19,-126.60601119043194,0.0014950037002563477,-202.5134374330846,0.002226090431213379
20,-126.60601119043194,0.0014530181884765624,-202.5134374330846,0.0021536588668823243
21,-126.69739092336258,0.0014749288558959961,-202.603025406546,0.0022045373916625977
22,-126.69739092336258,0.001464533805847168,-202.603025406546,0.0021575450897216796
23,-126.60601119043194,0.0014587163925170899,-202.7822013534688,0.002153778076171875
24,-126.51463145750131,0.0014492988586425782,-202.7822013534688,0.002152085304260254
25,-126.60601119043194,0.0014414072036743164,-202.6926133800074,0.0021431446075439453
26,-126.51463145750131,0.0014533042907714845,-202.5134374330846,0.002177739143371582
27,-126.51463145750131,0.0014497041702270508,-202.603025406546,0.002149152755737305
28,-126.69739092336258,0.001460886001586914,-202.5134374330846,0.002181601524353027
29,-126.60601119043194,0.0014508485794067383,-202.603025406546,0.002151799201965332
30,-126.51463145750131,0.001443338394165039,-202.5134374330846,0.0021412134170532226
31,-126.60601119043194,0.0014663934707641602,-202.603025406546,0.0021889925003051756
32,-126.69739092336258,0.001446700096130371,-202.603025406546,0.0021540164947509766
33,-126.51463145750131,0.001435708999633789,-202.6926133800074,0.002138686180114746
34,-126.69739092336258,0.001444387435913086,-202.603025406546,0.0021467208862304688
35,-126.60601119043194,0.0014531135559082032,-202.603025406546,0.0021561384201049805
36,-126.60601119043194,0.001455998420715332,-202.603025406546,0.0021509647369384764
37,-126.51463145750131,0.0014585256576538086,-202.603025406546,0.0021630287170410155
38,-126.60601119043194,0.001468324661254883,-202.6926133800074,0.00218815803527832
39,-126.60601119043194,0.0014652013778686523,-202.5134374330846,0.002205491065979004
40,-126.51463145750131,0.0014595985412597656,-202.603025406546,0.0021907329559326173
41,-126.69739092336258,0.001435565948486328,-202.6926133800074,0.002127552032470703
42,-126.60601119043194,0.0014531612396240234,-202.603025406546,0.002175712585449219
43,-126.51463145750131,0.0014432430267333984,-202.5134374330846,0.0021612882614135743
44,-126.64384660329029,0.001458287239074707,-202.603025406546,0.002179241180419922
45,-126.51463145750131,0.0014358043670654296,-202.603025406546,0.002144789695739746
46,-126.51463145750131,0.0014479875564575196,-202.7822013534688,0.0021517276763916016
47,-126.60601119043194,0.001451253890991211,-202.603025406546,0.0021662235260009764
48,-126.60601119043194,0.0014454841613769532,-202.6926133800074,0.002165961265563965
49,-126.78877065629322,0.0014766693115234376,-202.603025406546,0.0022009611129760742
50,-126.69739092336258,0.0014455318450927734,-202.603025406546,0.002151942253112793
51,-126.69739092336258,0.0014565229415893556,-202.6926133800074,0.007741236686706543
52,-126.51463145750131,0.0014548063278198241,-202.603025406546,0.002144789695739746
53,-126.69739092336258,0.0016003131866455078,-202.603025406546,0.0023534536361694337
54,-126.51463145750131,0.001462244987487793,-202.8717893269302,0.0021596908569335937
55,-126.60601119043194,0.0014873266220092774,-202.6926133800074,0.0022081375122070313
56,-126.51463145750131,0.0014574289321899413,-202.5134374330846,0.0021526575088500976
57,-126.60601119043194,0.0014521121978759766,-202.5134374330846,0.002156233787536621
58,-126.60601119043194,0.0014652252197265626,-202.7822013534688,0.0021655797958374024
59,-126.69739092336258,0.001466512680053711,-202.603025406546,0.0021793365478515623
60,-126.78877065629322,0.0014544248580932618,-202.7822013534688,0.0021582603454589843
61,-126.69739092336258,0.0014445781707763672,-202.6926133800074,0.002151775360107422
62,-126.60601119043194,0.0014545440673828125,-202.603025406546,0.002161717414855957
63,-126.60601119043194,0.0014454126358032227,-202.603025406546,0.002157306671142578
64,-126.51463145750131,0.0014784097671508788,-202.5134374330846,0.0022110939025878906
65,-126.60601119043194,0.0014462709426879884,-202.7822013534688,0.0021489858627319336
66,-126.51463145750131,0.001454782485961914,-202.5134374330846,0.0021558046340942384
67,-126.69739092336258,0.0014748811721801759,-202.7822013534688,0.002187490463256836
68,-126.51463145750131,0.0014829635620117188,-202.6926133800074,0.0022152185440063475
69,-126.60601119043194,0.0014648199081420898,-202.5134374330846,0.0021542787551879885
70,-126.60601119043194,0.001472306251525879,-202.7822013534688,0.0021843910217285156
71,-126.69739092336258,0.0014424800872802734,-202.603025406546,0.0021648406982421875
72,-126.69739092336258,0.0014588117599487304,-202.5134374330846,0.0021738529205322264
73,-126.69739092336258,0.001447606086730957,-202.5134374330846,0.005126738548278808
74,-126.69739092336258,0.0014463186264038086,-202.6926133800074,0.0021639585494995115
75,-126.60601119043194,0.0014600515365600585,-202.5134374330846,0.0021671772003173826
76,-126.51463145750131,0.001462411880493164,-202.6926133800074,0.002186894416809082
77,-126.60601119043194,0.0014687776565551758,-202.603025406546,0.0021706819534301758
78,-126.51463145750131,0.001460123062133789,-202.7822013534688,0.002155590057373047
79,-126.51463145750131,0.0014702558517456054,-202.603025406546,0.0021831035614013673
80,-126.51463145750131,0.0014799118041992187,-202.603025406546,0.002215719223022461
81,-126.69739092336258,0.0014492988586425782,-202.8717893269302,0.002153611183166504
82,-126.51463145750131,0.0014594793319702148,-202.6926133800074,0.0021801233291625977
83,-126.78877065629322,0.0014532089233398437,-202.6926133800074,0.0021656036376953127
84,-126.60601119043194,0.001468491554260254,-202.603025406546,0.0021873950958251954
85,-126.60601119043194,0.0014616966247558594,-202.5134374330846,0.002185511589050293
86,-126.78877065629322,0.0014709949493408204,-202.603025406546,0.002185678482055664
87,-126.78877065629322,0.0014558076858520509,-202.603025406546,0.0021600961685180665
88,-126.60601119043194,0.0014602422714233398,-202.603025406546,0.002169942855834961
89,-126.69739092336258,0.0014558792114257812,-202.6926133800074,0.002176928520202637
90,-126.51463145750131,0.0014791011810302735,-202.5134374330846,0.0022095203399658202
91,-126.69739092336258,0.0014597177505493164,-202.6926133800074,0.0021684646606445314
92,-126.60601119043194,0.0014585018157958984,-202.6926133800074,0.0021851062774658203
93,-126.60601119043194,0.001466083526611328,-202.5134374330846,0.0021760225296020507
94,-126.51463145750131,0.00145416259765625,-202.6926133800074,0.002154088020324707
95,-126.60601119043194,0.0014563560485839843,-202.603025406546,0.002175784111022949
