episode,grevlex_mean_reward,grevlex_mean_time_s,deglex_mean_reward,deglex_mean_time_s
1,-126.88015038922386,0.001456618309020996,-202.7822013534688,0.002167344093322754
2,-126.88015038922386,0.0014763116836547852,-202.6926133800074,0.002169680595397949
3,-126.78877065629322,0.001466822624206543,-202.6926133800074,0.0021748065948486326
4,-127.15428958801574,0.0015813589096069336,-202.8717893269302,0.002311086654663086
5,-126.69739092336258,0.0014700889587402344,-202.603025406546,0.0021989107131958007
6,-126.88015038922383,0.0014773368835449218,-202.6926133800074,0.006398892402648926
7,-126.78877065629322,0.001456451416015625,-202.6926133800074,0.0021637439727783202
8,-126.60601119043194,0.0014758825302124024,-202.603025406546,0.002180790901184082
9,-127.15428958801574,0.0014821290969848633,-202.7822013534688,0.0021784305572509766
10,-126.60601119043194,0.0014664649963378907,-202.603025406546,0.005815887451171875
11,-126.78877065629322,0.0014660358428955078,-202.5134374330846,0.002177000045776367
12,-126.69739092336258,0.0014698505401611328,-202.603025406546,0.0021736621856689453
13,-126.60601119043194,0.004629325866699219,-202.7822013534688,0.0021845817565917967
14,-126.69739092336258,0.0014667749404907227,-202.603025406546,0.0021751880645751952
15,-126.51463145750131,0.001462411880493164,-202.603025406546,0.00217592716217041
16,-126.60601119043194,0.0014772653579711915,-202.603025406546,0.0021933794021606447
17,-126.51463145750131,0.00146791934967041,-202.6926133800074,0.0021934986114501955
18,-126.78877065629322,0.0014652252197265626,-202.6926133800074,0.0021794319152832033
19,-126.60601119043194,0.0014635086059570312,-202.5134374330846,0.002181863784790039
20,-126.69739092336258,0.0014615774154663086,-202.5134374330846,0.002164888381958008
21,-126.7887706562932,0.001465177536010742,-202.603025406546,0.0021889209747314453
22,-126.78877065629322,0.0014603137969970703,-202.5134374330846,0.002171778678894043
23,-126.51463145750131,0.0014659881591796875,-202.603025406546,0.002177000045776367
24,-126.69739092336258,0.001453065872192383,-202.6926133800074,0.005942153930664063
25,-126.88015038922383,0.0014598608016967774,-202.6926133800074,0.0021934270858764648
26,-126.51463145750131,0.0014591693878173828,-202.603025406546,0.0021715641021728517
27,-126.60601119043194,0.0014647483825683595,-202.6926133800074,0.002167630195617676
28,-126.78877065629322,0.001474475860595703,-202.5134374330846,0.0022002220153808593
29,-126.60601119043194,0.0014675140380859375,-202.6926133800074,0.002170276641845703
30,-126.69739092336258,0.0014656305313110352,-202.66952883579023,0.002173590660095215
31,-126.69739092336258,0.001536083221435547,-202.6926133800074,0.002290225028991699
32,-126.51463145750131,0.0014630794525146485,-202.5134374330846,0.00217437744140625
33,-126.60601119043194,0.001496100425720215,-202.6926133800074,0.00220489501953125
34,-126.78877065629322,0.0014732837677001952,-202.603025406546,0.002192091941833496
35,-126.69739092336258,0.0014715909957885743,-202.603025406546,0.002187180519104004
36,-126.60601119043194,0.0014547109603881836,-202.5134374330846,0.0021601200103759767
37,-126.69739092336258,0.0014692068099975586,-202.603025406546,0.00219118595123291
38,-126.51463145750131,0.0014685869216918945,-202.5134374330846,0.0021805047988891603
39,-126.78877065629322,0.001465916633605957,-202.5134374330846,0.0021684646606445314
40,-126.78877065629322,0.0014703989028930664,-202.7822013534688,0.002203965187072754
41,-126.60601119043194,0.0014744997024536133,-202.603025406546,0.0021881818771362304
42,-126.51463145750131,0.001486992835998535,-202.6926133800074,0.0022200345993041992
43,-126.60601119043194,0.0014651298522949218,-202.5134374330846,0.0021721363067626954
44,-126.88015038922386,0.0014460086822509766,-202.603025406546,0.002154994010925293
45,-126.51463145750131,0.0014598846435546875,-202.5134374330846,0.0021568059921264647
46,-126.51463145750131,0.0014835596084594727,-202.5134374330846,0.002208113670349121
47,-126.60601119043194,0.0014746665954589843,-202.6926133800074,0.002204585075378418
48,-126.78877065629322,0.0014564990997314453,-202.603025406546,0.002165532112121582
49,-126.60601119043194,0.0014643669128417969,-202.6926133800074,0.0021527290344238283
50,-126.51463145750131,0.0014680385589599609,-202.603025406546,0.002180600166320801
51,-126.78877065629322,0.0014699459075927734,-202.9613773003916,0.0021667242050170898
52,-126.69739092336258,0.0014671802520751954,-202.8717893269302,0.0021845102310180664
53,-126.47164343197491,0.0014769077301025391,-202.6926133800074,0.0021572351455688477
54,-126.51463145750131,0.001447606086730957,-202.603025406546,0.0021492958068847655
55,-126.60601119043194,0.0014611244201660155,-202.6926133800074,0.0021694660186767577
56,-126.60601119043194,0.0014576911926269531,-202.603025406546,0.0021659374237060548
57,-126.51463145750131,0.0014682054519653321,-202.6926133800074,0.002167415618896484
58,-126.51463145750131,0.001466679573059082,-202.603025406546,0.0021753787994384767
59,-126.60601119043194,0.001470661163330078,-202.6926133800074,0.002166604995727539
60,-126.69739092336258,0.001482081413269043,-202.6926133800074,0.0021975040435791016
61,-126.60601119043194,0.001464509963989258,-202.5134374330846,0.002185630798339844
62,-126.51463145750131,0.0014550209045410157,-202.603025406546,0.0021692514419555664
63,-126.51463145750131,0.0014663457870483399,-202.5134374330846,0.0021747350692749023
64,-126.78877065629322,0.0014658212661743165,-202.6926133800074,0.0021661996841430666
65,-126.51463145750131,0.001481771469116211,-202.603025406546,0.002220010757446289
66,-126.60601119043194,0.0014577150344848634,-202.603025406546,0.00216372013092041
67,-126.51463145750131,0.0014642953872680664,-202.603025406546,0.005649280548095703
68,-126.60601119043194,0.0014658212661743165,-202.603025406546,0.0021821260452270508
69,-126.78877065629322,0.0014568567276000977,-202.603025406546,0.002155303955078125
70,-126.56302316490557,0.0014642953872680664,-202.6926133800074,0.002178001403808594
71,-126.69739092336258,0.0014778614044189454,-202.7822013534688,0.0021803855895996095
72,-126.51463145750131,0.0014580726623535157,-202.7822013534688,0.0021820783615112303
73,-126.60601119043194,0.0014602184295654298,-202.603025406546,0.0021605491638183594
74,-126.60601119043194,0.0014491796493530274,-202.5134374330846,0.002152156829833984
75,-126.69739092336258,0.0014671564102172851,-202.5134374330846,0.002181077003479004
76,-126.69739092336258,0.0014679670333862306,-202.6926133800074,0.0021675825119018555
77,-126.51463145750131,0.0014893293380737304,-202.603025406546,0.0022061824798583984
78,-126.60601119043194,0.001465773582458496,-202.6926133800074,0.0021674394607543944
79,-126.60601119043194,0.0014576673507690429,-202.6926133800074,0.002174091339111328
80,-126.60601119043194,0.001471877098083496,-202.603025406546,0.0021775007247924806
81,-126.60601119043194,0.0014853239059448241,-202.5134374330846,0.0021754741668701173
82,-126.69739092336258,0.0014507293701171875,-202.5134374330846,0.0021535873413085936
83,-126.7887706562932,0.0014569759368896484,-202.5134374330846,0.0021752834320068358
84,-126.51463145750131,0.0014621973037719726,-202.5134374330846,0.00216977596282959
85,-126.51463145750131,0.0014805078506469726,-202.5134374330846,0.002182674407958984
86,-126.60601119043194,0.0014875411987304687,-202.603025406546,0.002214813232421875
87,-126.69739092336258,0.0014462471008300781,-202.6926133800074,0.002152419090270996
88,-126.69739092336258,0.0014659643173217773,-202.603025406546,0.0021783113479614258
89,-126.60601119043194,0.0014756679534912109,-202.6926133800074,0.0021667003631591795
90,-126.78877065629322,0.0014714241027832032,-202.5134374330846,0.002168416976928711
91,-126.60601119043194,0.001465010643005371,-202.603025406546,0.002185511589050293
92,-126.60601119043194,0.0014652013778686523,-202.603025406546,0.0021688461303710936
93,-126.78877065629322,0.0014527797698974609,-202.603025406546,0.0021530628204345704
94,-126.51463145750131,0.0014589786529541015,-202.603025406546,0.005908656120300293
95,-126.51463145750131,0.001446104049682617,-202.5134374330846,0.0021526336669921873
96,-126.51463145750131,0.0014658689498901368,-202.5134374330846,0.002193450927734375
97,-126.51463145750131,0.001472330093383789,-202.603025406546,0.0021902084350585937
98,-126.60601119043194,0.0014561653137207032,-202.603025406546,0.002167963981628418
99,-126.51463145750131,0.00506436824798584,-202.5134374330846,0.0021631479263305663
100,-126.51463145750131,0.0014594078063964843,-202.6926133800074,0.002167510986328125
101,-126.78877065629322,0.0014843463897705079,-202.8717893269302,0.002191972732543945
102,-126.69739092336258,0.001479792594909668,-202.5134374330846,0.0022021055221557615
103,-126.60601119043194,0.0014573335647583008,-202.603025406546,0.002158522605895996
104,-126.51463145750131,0.0014551401138305664,-202.5134374330846,0.0021523475646972657
105,-126.51463145750131,0.0014667034149169922,-202.5134374330846,0.002178955078125
106,-126.60601119043194,0.001466822624206543,-202.7822013534688,0.0021715641021728517
107,-126.51463145750131,0.001470470428466797,-202.5134374330846,0.0022009611129760742
108,-126.60601119043194,0.001473379135131836,-202.6926133800074,0.002186155319213867
109,-126.69739092336258,0.0014714479446411132,-202.603025406546,0.0021809101104736327
110,-126.51463145750131,0.0014699220657348633,-202.5134374330846,0.002167081832885742
111,-126.60601119043194,0.001462697982788086,-202.603025406546,0.002174091339111328
112,-126.51463145750131,0.0014754056930541993,-202.603025406546,0.0021866798400878907
113,-126.51463145750131,0.0014738082885742188,-202.5134374330846,0.0021663904190063477
114,-126.60601119043194,0.0014688730239868163,-202.603025406546,0.0021619319915771483
115,-126.60601119043194,0.001495957374572754,-202.6926133800074,0.002211308479309082
116,-126.60601119043194,0.0014634847640991211,-202.60107949639695,0.0021602630615234373
117,-126.69739092336258,0.001471734046936035,-202.5134374330846,0.002174782752990723
118,-126.51463145750131,0.0014806747436523437,-202.5134374330846,0.005866456031799317
119,-126.69739092336258,0.0014616727828979492,-202.5134374330846,0.002172994613647461
120,-126.60601119043194,0.0014620304107666015,-202.5134374330846,0.00219266414642334
121,-126.60601119043194,0.0046994686126708984,-202.6926133800074,0.002160501480102539
122,-126.69739092336258,0.0014621257781982423,-202.603025406546,0.002160453796386719
123,-126.69739092336258,0.0014513015747070312,-202.6926133800074,0.0021661043167114256
124,-126.60601119043194,0.0014626741409301757,-202.5134374330846,0.00216526985168457
125,-126.60601119043194,0.0014656305313110352,-202.6926133800074,0.002164888381958008
126,-126.69739092336258,0.0014786720275878906,-202.5134374330846,0.006054806709289551
127,-126.78877065629322,0.0014631986618041993,-202.5134374330846,0.002178812026977539
128,-126.78877065629322,0.0014619112014770507,-202.5134374330846,0.0021741390228271484
129,-126.51463145750131,0.001465439796447754,-202.7822013534688,0.002174091339111328
130,-126.60601119043194,0.0051229000091552734,-202.7822013534688,0.0021732091903686524
131,-126.60601119043194,0.0014642953872680664,-202.6926133800074,0.0021881818771362304
132,-126.51463145750131,0.0014701128005981446,-202.5134374330846,0.002166152000427246
133,-126.51463145750131,0.0014744043350219727,-202.6926133800074,0.0021776199340820313
134,-126.60601119043194,0.001473212242126465,-202.603025406546,0.002179121971130371
135,-126.60601119043194,0.0014661073684692383,-202.5134374330846,0.0021544933319091798
136,-126.51463145750131,0.001468348503112793,-202.603025406546,0.002185630798339844
137,-126.60601119043194,0.0014687538146972655,-202.5134374330846,0.0021783590316772463
138,-126.51463145750131,0.0014700651168823241,-202.603025406546,0.0021983861923217775
139,-126.60601119043194,0.0014580011367797852,-202.603025406546,0.0021742820739746095
140,-126.51463145750131,0.0014594078063964843,-202.603025406546,0.002181386947631836
141,-126.60601119043194,0.0014652729034423829,-202.603025406546,0.0021892547607421874
142,-126.60601119043194,0.0014726877212524413,-202.8717893269302,0.0021622180938720703
143,-126.60601119043194,0.0014657974243164062,-202.603025406546,0.0021831274032592775
144,-126.51463145750131,0.0014667272567749023,-202.5134374330846,0.0021578311920166016
145,-126.51463145750131,0.0014834165573120116,-202.6926133800074,0.002187776565551758
146,-126.51463145750131,0.0014519691467285156,-202.5134374330846,0.0021747589111328126
147,-126.51463145750131,0.001480865478515625,-202.5134374330846,0.0021841764450073243
148,-126.51463145750131,0.0014702081680297852,-202.5134374330846,0.002163195610046387
149,-126.69739092336258,0.001470494270324707,-202.603025406546,0.0021855831146240234
150,-126.60601119043194,0.001473712921142578,-202.603025406546,0.0021760940551757814
151,-126.60601119043194,0.00146331787109375,-202.603025406546,0.002168583869934082
152,-126.60601119043194,0.0014521360397338867,-202.6926133800074,0.0021544933319091798
153,-126.51463145750131,0.0014695405960083007,-202.603025406546,0.0021863937377929687
154,-126.60601119043194,0.001473402976989746,-202.5134374330846,0.002180314064025879
155,-126.60601119043194,0.0014713525772094727,-202.603025406546,0.0021863937377929687
156,-126.60601119043194,0.0014619827270507812,-202.603025406546,0.0021667957305908205
157,-126.51463145750131,0.0014670610427856446,-202.603025406546,0.0021735668182373048
158,-126.51463145750131,0.0014639854431152343,-202.5134374330846,0.002170562744140625
159,-126.69739092336258,0.0014696836471557618,-202.7822013534688,0.002186012268066406
160,-126.60601119043194,0.0014598846435546875,-202.5134374330846,0.0021667242050170898
161,-126.51463145750131,0.001466989517211914,-202.7822013534688,0.002182769775390625
162,-126.60601119043194,0.001455998420715332,-202.6926133800074,0.0021769523620605467
163,-126.60601119043194,0.0014811277389526368,-202.603025406546,0.0021952152252197265
164,-126.69739092336258,0.001468968391418457,-202.5134374330846,0.002173924446105957
165,-126.51463145750131,0.0014744043350219727,-202.8717893269302,0.002188301086425781
166,-126.51463145750131,0.0014705181121826172,-202.603025406546,0.002176356315612793
167,-126.51463145750131,0.001463007926940918,-202.6926133800074,0.0021743059158325197
168,-126.60601119043194,0.0014555692672729493,-202.8717893269302,0.002162313461303711
169,-126.51463145750131,0.0014694929122924805,-202.6926133800074,0.005722212791442871
170,-126.60601119043194,0.0014655351638793944,-202.603025406546,0.0021878719329833985
171,-126.51463145750131,0.0014595508575439454,-202.7822013534688,0.002160167694091797
172,-126.51463145750131,0.0014709949493408204,-202.5134374330846,0.0021787643432617187
173,-126.51463145750131,0.0014683961868286132,-202.5134374330846,0.002177524566650391
174,-126.60601119043194,0.0014596700668334961,-202.603025406546,0.002157282829284668
175,-126.60601119043194,0.0014651060104370118,-202.5134374330846,0.002171826362609863
176,-126.60601119043194,0.0014672994613647461,-202.5134374330846,0.0021744489669799803
177,-126.69739092336258,0.0014547586441040039,-202.5134374330846,0.0021544694900512695
178,-126.60601119043194,0.00146026611328125,-202.603025406546,0.0021787166595458986
179,-126.60601119043194,0.0014624834060668946,-202.7822013534688,0.0021729230880737304
180,-126.60601119043194,0.001476454734802246,-202.603025406546,0.0021973848342895508
