episode,grevlex_mean_reward,grevlex_mean_time_s,deglex_mean_reward,deglex_mean_time_s
1,-127.24566932094638,0.0015421867370605468,-202.7822013534688,0.013259553909301757
2,-126.88015038922386,0.0015712738037109374,-202.7822013534688,0.00236051082611084
3,-126.97153012215449,0.0015483140945434571,-202.9613773003916,0.002296304702758789
4,-126.69739092336258,0.0014460325241088868,-202.5134374330846,0.002154636383056641
5,-126.69739092336258,0.0014427661895751952,-202.6926133800074,0.0021591663360595705
6,-126.88015038922386,0.0014662504196166991,-202.7822013534688,0.006327080726623535
7,-126.60601119043194,0.001438140869140625,-202.6926133800074,0.0021457672119140625
8,-126.69739092336258,0.0014412879943847656,-202.603025406546,0.002158856391906738
9,-126.51463145750131,0.0014492034912109374,-202.7822013534688,0.0021678924560546873
10,-126.51463145750131,0.0014390945434570312,-202.6926133800074,0.002157759666442871
11,-126.51463145750131,0.0014495849609375,-202.603025406546,0.0021809816360473635
12,-126.51463145750131,0.00144500732421875,-202.603025406546,0.0021624326705932616
13,-126.60601119043194,0.0014368057250976562,-202.603025406546,0.0021465063095092774
14,-126.69739092336258,0.0014560937881469727,-202.5134374330846,0.0021686792373657227
15,-126.60601119043194,0.0014471054077148438,-202.603025406546,0.0021553993225097655
16,-126.69739092336258,0.0014604806900024414,-202.5134374330846,0.002190899848937988
17,-126.51463145750131,0.0014478206634521485,-202.603025406546,0.002156996726989746
18,-126.78877065629322,0.0014313220977783202,-202.6926133800074,0.002144598960876465
19,-126.60601119043194,0.0014385938644409179,-202.603025406546,0.002159595489501953
20,-126.69739092336258,0.0014423847198486329,-202.6926133800074,0.002145671844482422
21,-126.78877065629322,0.0014354705810546875,-202.603025406546,0.002149796485900879
22,-126.51463145750131,0.0014292240142822266,-202.603025406546,0.0021393299102783203
23,-126.51463145750131,0.0014391660690307618,-202.6926133800074,0.0021486759185791017
24,-126.60601119043194,0.0014437198638916015,-202.5134374330846,0.002158379554748535
25,-126.69739092336258,0.0014522075653076172,-202.603025406546,0.002231192588806152
26,-126.69739092336258,0.0014499902725219726,-202.6926133800074,0.002164769172668457
27,-126.69739092336258,0.0014481782913208009,-202.603025406546,0.002144527435302734
28,-126.7887706562932,0.0014405965805053711,-202.603025406546,0.006004142761230469
29,-126.69739092336258,0.001434659957885742,-202.5134374330846,0.0021509408950805666
30,-126.78877065629322,0.0014554738998413086,-202.5134374330846,0.0021718502044677734
31,-126.69739092336258,0.0014518499374389648,-202.6926133800074,0.0021719932556152344
32,-126.60601119043194,0.0014459848403930663,-202.5134374330846,0.0021533966064453125
33,-126.51463145750131,0.001456284523010254,-202.6926133800074,0.0021728754043579103
34,-126.69739092336258,0.001453709602355957,-202.6926133800074,0.002171611785888672
35,-126.51463145750131,0.0014557600021362304,-202.603025406546,0.0021780729293823242
36,-126.78877065629322,0.0014477968215942383,-202.7822013534688,0.002174067497253418
37,-126.78877065629322,0.0014631032943725586,-202.603025406546,0.0022031784057617186
38,-126.60601119043194,0.0014455080032348632,-202.7822013534688,0.0021553277969360352
39,-126.60601119043194,0.0014763116836547852,-202.5134374330846,0.0022116899490356445
40,-126.69739092336258,0.001442885398864746,-202.603025406546,0.002147412300109863
41,-126.69739092336258,0.004784798622131348,-202.5134374330846,0.0021488189697265623
42,-126.60601119043194,0.0014482259750366211,-202.603025406546,0.0021760225296020507
43,-126.51463145750131,0.001444101333618164,-202.5134374330846,0.002167201042175293
44,-126.60601119043194,0.0014527559280395508,-202.5134374330846,0.00217289924621582
45,-126.51463145750131,0.0014842748641967773,-202.6926133800074,0.002205777168273926
46,-126.69739092336258,0.0014495849609375,-202.6926133800074,0.002161097526550293
47,-126.60601119043194,0.001451253890991211,-202.603025406546,0.0021530866622924806
48,-126.69739092336258,0.001445770263671875,-202.603025406546,0.0021640539169311525
49,-126.51463145750131,0.0014498472213745118,-202.603025406546,0.0021625041961669924
50,-126.51463145750131,0.001453065872192383,-202.5134374330846,0.0021602153778076173
51,-126.60601119043194,0.001448988914489746,-202.5134374330846,0.002160477638244629
52,-126.69739092336258,0.0014789581298828125,-202.5134374330846,0.0021933317184448242
53,-126.69739092336258,0.001454472541809082,-202.5134374330846,0.002160191535949707
54,-126.69739092336258,0.0014662981033325196,-202.603025406546,0.002192854881286621
55,-126.51463145750131,0.0014509916305541991,-202.603025406546,0.002161097526550293
56,-126.69739092336258,0.0014464616775512694,-202.9613773003916,0.002159571647644043
57,-126.51463145750131,0.001497793197631836,-202.5134374330846,0.005334901809692383
58,-126.51463145750131,0.0014469385147094726,-202.5134374330846,0.0021661758422851563
59,-126.60601119043194,0.0014468669891357423,-202.603025406546,0.0021561384201049805
60,-126.51463145750131,0.00144195556640625,-202.603025406546,0.002165985107421875
61,-126.51463145750131,0.0014545202255249023,-202.603025406546,0.0021709203720092773
62,-126.69739092336258,0.0014472723007202149,-202.603025406546,0.002160453796386719
63,-126.51463145750131,0.0014461517333984376,-202.603025406546,0.0021634340286254884
64,-126.51463145750131,0.001434469223022461,-202.603025406546,0.0021419286727905273
65,-126.60601119043194,0.0014567613601684571,-202.603025406546,0.002187800407409668
66,-126.69739092336258,0.0014483213424682617,-202.603025406546,0.0021606206893920897
67,-126.60601119043194,0.0014741659164428712,-202.8717893269302,0.0022086858749389648
68,-126.51463145750131,0.001442861557006836,-202.6926133800074,0.0021478891372680663
69,-126.51463145750131,0.0014535903930664063,-202.5134374330846,0.002188253402709961
70,-126.51463145750131,0.0014515161514282227,-202.6926133800074,0.0021678924560546873
71,-126.60601119043194,0.0014539241790771484,-202.6926133800074,0.0021630048751831053
72,-126.51463145750131,0.005203628540039062,-202.5134374330846,0.0021514177322387697
73,-126.69739092336258,0.0014428138732910157,-202.5134374330846,0.0021562099456787108
74,-126.60601119043194,0.001444864273071289,-202.6926133800074,0.002166938781738281
75,-126.60601119043194,0.0014357328414916991,-202.5134374330846,0.0021558761596679687
76,-126.88015038922383,0.0014617919921875,-202.6926133800074,0.0022062063217163086
77,-126.60601119043194,0.0014494895935058595,-202.5134374330846,0.002154636383056641
78,-126.60601119043194,0.0014557600021362304,-202.8717893269302,0.002175593376159668
79,-126.60601119043194,0.0014333486557006835,-202.5134374330846,0.002139163017272949
80,-126.78877065629322,0.0014548778533935546,-202.5134374330846,0.0021836519241333007
81,-126.60601119043194,0.00146636962890625,-202.7822013534688,0.002192974090576172
82,-126.51463145750131,0.005184602737426758,-202.6926133800074,0.0021513700485229492
83,-126.60601119043194,0.0014334678649902343,-202.8717893269302,0.00214533805847168
84,-126.51463145750131,0.0014504432678222657,-202.6926133800074,0.002173900604248047
85,-126.7887706562932,0.0014600276947021485,-202.6926133800074,0.002167677879333496
86,-126.69739092336258,0.0014851808547973633,-202.603025406546,0.006168985366821289
87,-126.69739092336258,0.0014562129974365235,-202.5134374330846,0.002173495292663574
88,-126.69739092336258,0.001458454132080078,-202.8717893269302,0.002167224884033203
89,-126.60601119043194,0.0014600038528442382,-202.7822013534688,0.0021784305572509766
90,-126.51463145750131,0.0014592647552490235,-202.5134374330846,0.002170896530151367
91,-126.60601119043194,0.0014409065246582032,-202.5134374330846,0.0021569252014160155
92,-126.60601119043194,0.0014618873596191407,-202.603025406546,0.002189779281616211
93,-126.69739092336258,0.001460886001586914,-202.7822013534688,0.0021606922149658204
94,-126.51463145750131,0.0014590024948120117,-202.603025406546,0.0021665811538696287
95,-126.69739092336258,0.0014728546142578126,-202.603025406546,0.0021950960159301757
96,-126.88015038922386,0.001453542709350586,-202.5134374330846,0.0021534204483032227
97,-126.7887706562932,0.0014533042907714845,-202.6926133800074,0.00216522216796875
98,-126.60601119043194,0.0014516115188598633,-202.5134374330846,0.00217742919921875
99,-126.51463145750131,0.0014681816101074219,-202.603025406546,0.0022021055221557615
100,-126.51463145750131,0.0014681100845336914,-202.5134374330846,0.005946540832519531
101,-126.60601119043194,0.0014563798904418945,-202.6926133800074,0.0021654367446899414
102,-126.69739092336258,0.0014574766159057618,-202.8717893269302,0.0021629571914672852
103,-126.51463145750131,0.0014556169509887696,-202.603025406546,0.0021561145782470702
104,-126.69739092336258,0.0014522075653076172,-202.5134374330846,0.006039881706237793
105,-126.51463145750131,0.0014751434326171875,-202.7822013534688,0.002176213264465332
106,-126.60601119043194,0.0014649152755737305,-202.6926133800074,0.002168607711791992
107,-126.51463145750131,0.0014627218246459962,-202.603025406546,0.0022112131118774414
108,-126.51463145750131,0.001443767547607422,-202.5134374330846,0.0021529912948608397
109,-126.69739092336258,0.0014511823654174804,-202.603025406546,0.002166128158569336
110,-126.69739092336258,0.001450490951538086,-202.603025406546,0.0021662235260009764
111,-126.60601119043194,0.0014604091644287109,-202.5134374330846,0.002159595489501953
112,-126.51463145750131,0.0014558792114257812,-202.5134374330846,0.002167224884033203
113,-126.88015038922386,0.001460862159729004,-202.603025406546,0.002189826965332031
114,-126.60601119043194,0.0014637231826782227,-202.6926133800074,0.005945158004760742
115,-126.69739092336258,0.0014426469802856444,-202.5134374330846,0.002149033546447754
116,-126.69739092336258,0.0014484882354736327,-202.603025406546,0.0021673917770385744
117,-126.51463145750131,0.0014527320861816406,-202.5134374330846,0.0021558046340942384
118,-126.60601119043194,0.0014673233032226562,-202.5134374330846,0.002194929122924805
119,-126.51463145750131,0.0014518976211547851,-202.5134374330846,0.0021768808364868164
120,-126.69739092336258,0.0014758110046386719,-202.5134374330846,0.0021876096725463867
121,-126.60601119043194,0.001461338996887207,-202.5134374330846,0.002160334587097168
122,-126.60601119043194,0.0014512300491333007,-202.603025406546,0.0021526098251342775
123,-126.60601119043194,0.0014548778533935546,-202.603025406546,0.0021696567535400392
124,-126.60601119043194,0.0014447927474975585,-202.6926133800074,0.0021507740020751953
125,-126.51463145750131,0.0014593839645385743,-202.603025406546,0.0021752119064331055
126,-126.51463145750131,0.0014727592468261718,-202.6926133800074,0.002189493179321289
127,-126.60601119043194,0.0014528989791870116,-202.5134374330846,0.002171635627746582
128,-126.60601119043194,0.001452803611755371,-202.603025406546,0.002168869972229004
129,-126.69739092336258,0.0014527797698974609,-202.603025406546,0.0021602869033813476
130,-126.60601119043194,0.0014496326446533203,-202.603025406546,0.002159571647644043
131,-126.69739092336258,0.0014506340026855468,-202.6926133800074,0.002164936065673828
132,-126.60601119043194,0.005193901062011719,-202.603025406546,0.0021589517593383787
133,-126.60601119043194,0.0014498710632324218,-202.6926133800074,0.0021591424942016602
134,-126.60601119043194,0.0014572381973266602,-202.6926133800074,0.0021720170974731446
135,-126.69739092336258,0.0014376878738403321,-202.8717893269302,0.0021607160568237306
136,-126.60601119043194,0.0014509439468383789,-202.6926133800074,0.0021582603454589843
137,-126.69739092336258,0.0014568328857421874,-202.5134374330846,0.0021806955337524414
138,-126.69739092336258,0.0014416933059692382,-202.603025406546,0.0021497011184692383
139,-126.60601119043194,0.0014436483383178712,-202.7822013534688,0.0021512508392333984
140,-126.69739092336258,0.0014560461044311524,-202.603025406546,0.0021759748458862306
141,-126.69739092336258,0.0014512777328491212,-202.6926133800074,0.0021645069122314454
142,-126.51463145750131,0.001446986198425293,-202.603025406546,0.00216822624206543
143,-126.60601119043194,0.0014964103698730468,-202.7822013534688,0.006017613410949707
144,-126.78877065629322,0.0014554738998413086,-202.6926133800074,0.002169013023376465
145,-126.69739092336258,0.0014504671096801757,-202.7822013534688,0.0021609067916870117
146,-126.78877065629322,0.0014699935913085938,-202.6926133800074,0.0021658420562744142
147,-126.69739092336258,0.0015349864959716796,-202.6926133800074,0.0022699832916259766
148,-126.88015038922386,0.0015212059020996093,-202.7822013534688,0.0022556543350219726
149,-126.69739092336258,0.001458120346069336,-202.8717893269302,0.002171015739440918
150,-126.69739092336258,0.0014658689498901368,-202.8717893269302,0.0021875381469726564
151,-126.69739092336258,0.0014432907104492188,-202.6926133800074,0.0021636247634887694
152,-126.78877065629322,0.0014722108840942382,-202.8717893269302,0.0021815061569213866
153,-126.69739092336258,0.0014650583267211913,-202.6926133800074,0.002210712432861328
154,-126.69739092336258,0.0014610767364501953,-202.7822013534688,0.00217585563659668
155,-126.69739092336258,0.00155029296875,-202.6926133800074,0.0022747039794921873
156,-126.78877065629322,0.001575469970703125,-202.603025406546,0.0022962093353271484
157,-126.60601119043194,0.001469898223876953,-202.7822013534688,0.002196669578552246
158,-126.60601119043194,0.0015267372131347657,-202.5134374330846,0.0022470235824584963
159,-126.97153012215449,0.0014807701110839844,-202.603025406546,0.0021918058395385743
160,-126.78877065629322,0.001472306251525879,-202.8717893269302,0.002178502082824707
161,-126.78877065629322,0.0014728546142578126,-202.603025406546,0.002181220054626465
162,-126.51463145750131,0.0015285253524780274,-202.603025406546,0.0022588491439819334
163,-126.78877065629322,0.0014559030532836914,-202.7822013534688,0.0021676063537597657
164,-126.69739092336258,0.0015303611755371094,-202.5134374330846,0.0022454023361206054
165,-126.60601119043194,0.0014597177505493164,-202.6926133800074,0.002178001403808594
166,-126.69739092336258,0.0014621973037719726,-202.7822013534688,0.0021823883056640626
167,-126.60601119043194,0.0014496088027954102,-202.6926133800074,0.0021586894989013674
168,-126.60601119043194,0.0014564037322998048,-202.603025406546,0.002175712585449219
169,-126.69739092336258,0.0014609813690185547,-202.6926133800074,0.0021653175354003906
170,-126.60601119043194,0.0014905214309692382,-202.6926133800074,0.005883598327636718
171,-126.69739092336258,0.0015425920486450196,-202.5134374330846,0.002252483367919922
172,-126.69739092336258,0.0014743566513061523,-202.5134374330846,0.002189302444458008
