var,weight
1,6.397237e-7
2,0.005046573
3,1.6512109e-6
4,7.8064694e-8
5,0.021417521
6,4.141329e-8
7,0.002073036
8,2.1503476e-7
9,5.0636334e-7
10,0.00014434749
11,1.2310218e-5
12,3.419787e-6
13,0.07898653
14,2.826499e-6
15,0.00075523806
16,0.49419364
17,0.39370918
18,7.616014e-5
19,0.003576076
