var,weight
1,3.3458525e-10
2,7.914759e-10
3,1.6962142e-9
4,7.9763784e-10
5,5.6094934e-10
6,1.796085e-10
7,2.926684e-9
8,3.652523e-9
9,4.6191131e-10
10,1.3360112e-9
11,2.4651578e-10
12,3.6179864e-9
13,7.554725e-9
14,2.0830057e-5
15,7.0649054e-5
16,2.0679673e-10
17,0.999757
18,0.00015153704
19,6.900509e-9
