episode,grevlex_mean_reward,grevlex_mean_time_s,deglex_mean_reward,deglex_mean_time_s
1,-35.85718671059082,0.0004938840866088867,-31.025357363604407,0.000598287582397461
2,-38.158682925371586,0.000506901741027832,-32.54482067502447,0.0006071090698242188
3,-34.445093973057034,0.0005049943923950195,-28.071961833246696,0.0006141901016235351
4,-34.445093973057034,0.0004930734634399414,-28.071961833246696,0.0006086826324462891
5,-34.445093973057034,0.00050048828125,-28.071961833246696,0.0006072044372558594
6,-36.859848597843076,0.00046443939208984375,-31.369364173972194,0.0005598068237304688
7,-39.85488179525924,0.00045418739318847656,-32.60924702774669,0.0005554914474487305
8,-38.76609629165405,0.00046312808990478516,-32.77960251449758,0.000561380386352539
9,-36.246941153489,0.0004693269729614258,-30.450423962197174,0.0005590677261352539
10,-37.99318280016704,0.000461888313293457,-33.33406088618857,0.0005604267120361328
11,-40.45449155503274,0.0004575014114379883,-33.08617937711514,0.0005529403686523437
12,-40.2723762556101,0.00046267509460449217,-32.16456634882435,0.0005519866943359375
13,-41.38126255677004,0.0004638671875,-32.61254286461269,0.0005533695220947266
14,-40.23817532204911,0.00046219825744628904,-32.44877905159381,0.0005601644515991211
15,-41.25541855543564,0.00046079158782958985,-32.74876424047936,0.0005554676055908204
16,-40.368942530356136,0.00046210289001464845,-32.83029279788183,0.0005579233169555664
17,-40.31853590392834,0.00046234130859375,-32.69619151665698,0.000555729866027832
18,-40.28609158641065,0.0004625082015991211,-33.768854054512886,0.0005570411682128906
19,-39.7175229132202,0.0004574298858642578,-30.97333736165599,0.0005595922470092773
20,-41.41691749447415,0.0004587650299072266,-33.26838180307217,0.0005526065826416016
21,-42.7802653283881,0.00046634674072265625,-35.03054834626151,0.0005486011505126953
22,-39.17740181567276,0.0004626035690307617,-30.522771707215576,0.0005679130554199219
23,-42.07525456170083,0.00046474933624267577,-34.37470940780205,0.0005635976791381836
24,-39.53115389173658,0.00046939849853515624,-33.42626064057298,0.000563812255859375
25,-41.74227276810343,0.0004739999771118164,-35.052205807895675,0.0005655527114868164
26,-39.41318522568788,0.00046148300170898435,-29.905146402890274,0.0005594015121459961
27,-39.63432977240882,0.0004682779312133789,-32.032424496207625,0.0005593776702880859
28,-40.077498278317485,0.000469660758972168,-32.807928638033744,0.0005562067031860352
29,-38.93324543973675,0.000468897819519043,-32.48103072203992,0.0005620956420898437
30,-40.68251919914308,0.0004633426666259766,-32.811224474899745,0.0005607128143310547
31,-40.02678229603811,0.0004659891128540039,-31.831783457312458,0.000557565689086914
32,-39.43926049695852,0.0004603862762451172,-31.944933975117085,0.0005644321441650391
33,-40.838264780263614,0.0004712581634521484,-32.97828412478462,0.0005570888519287109
34,-37.59131792931963,0.0004606723785400391,-31.200268107309206,0.0005581140518188477
35,-38.466202112653356,0.00046429634094238283,-31.440382200426427,0.00055999755859375
36,-38.27967765740041,0.00046651363372802735,-32.77960251449758,0.0005659341812133789
37,-41.019540252185195,0.0004655361175537109,-29.61504872460275,0.000559854507446289
38,-38.90285590587116,0.0004625797271728516,-31.364738618542027,0.0005608081817626953
39,-39.35290750916921,0.00047061443328857424,-31.701524045133862,0.000564408302307129
40,-40.19550804101893,0.0004658222198486328,-31.802827623732355,0.0005524873733520508
41,-39.3364283248392,0.00046668052673339846,-32.33233269692318,0.0005528211593627929
42,-38.4753626211798,0.00046539306640625,-31.742956527964036,0.0005529880523681641
43,-38.554318460437365,0.00046539306640625,-31.613403813999376,0.0005587100982666016
44,-40.762202040472204,0.000472569465637207,-29.680804795889134,0.0005664348602294922
45,-41.450314464922435,0.00047118663787841796,-30.222786518330043,0.0005616188049316406
46,-39.83171604396188,0.00046839714050292967,-30.614187775216067,0.0005607843399047851
47,-41.77863979905899,0.0004612445831298828,-34.437876340436375,0.0005542278289794922
48,-40.04471699619828,0.00046539306640625,-32.713846443211196,0.0005576610565185547
49,-39.46204144305019,0.00046787261962890627,-33.24005567953601,0.0005619049072265625
50,-39.055256388604235,0.0004599809646606445,-32.40138460507557,0.0005574941635131836
51,-37.57884516342002,0.0004631757736206055,-32.035412461780226,0.0005588054656982422
52,-40.425118935209056,0.0004689455032348633,-33.1641812145282,0.0005600929260253906
53,-42.40358140752443,0.00046668052673339846,-33.99037563973855,0.0005583524703979492
54,-40.26578458187809,0.00045778751373291013,-32.01327918505554,0.0005609989166259766
55,-40.927093221299074,0.0004669904708862305,-32.48032402382598,0.0005591630935668946
56,-38.6508847351834,0.0004576206207275391,-30.816165222369115,0.0005599021911621094
57,-39.73298367182126,0.000469517707824707,-31.6666062478657,0.0005550146102905274
58,-40.75561036674019,0.0004630327224731445,-32.31914934945915,0.0005631923675537109
59,-39.405848617690125,0.0004609823226928711,-33.174299608249626,0.0005548000335693359
60,-39.34928740763152,0.00046634674072265625,-33.444622265341124,0.0005561113357543945
61,-39.61001634944585,0.00046930313110351565,-31.850222070250595,0.0005630016326904297
62,-40.92782022337064,0.00046024322509765627,-31.560600207053596,0.0005525827407836914
63,-41.490301597415694,0.00046651363372802735,-32.69854977218564,0.0005548000335693359
64,-41.678280056811744,0.0004579067230224609,-33.29592424022439,0.0005573034286499023
65,-39.75678304364189,0.00046799182891845705,-31.903424504116913,0.0005521774291992188
66,-40.18354932626168,0.00046029090881347654,-30.973337361655997,0.0005553960800170898
67,-43.107382450325055,0.0004562854766845703,-35.087753315207785,0.0005605697631835937
68,-39.03899015520343,0.0004608154296875,-32.29152992413695,0.0005597591400146485
69,-39.101029720029764,0.00047249794006347655,-31.89753952859885,0.0005609035491943359
70,-40.86463147519166,0.0004645109176635742,-33.13679267232939,0.0005579710006713868
71,-38.461450759957195,0.0004612445831298828,-31.35485110794401,0.000557398796081543
72,-42.11236652692214,0.0004720926284790039,-34.41951471566822,0.0005566120147705078
73,-40.9428438918705,0.00047001838684082033,-31.86411211592856,0.0005520105361938477
74,-39.21830724839528,0.000468897819519043,-31.442341629034548,0.0005585670471191407
75,-40.44209575017428,0.00046813488006591797,-31.84692623338459,0.0005574226379394531
76,-40.017683839732676,0.00047383308410644533,-33.79200190074491,0.0005580425262451172
77,-39.63731625342324,0.00046961307525634767,-32.670300636819476,0.0005610227584838867
78,-38.23452001430398,0.0004608392715454102,-31.698934906481792,0.0005596637725830078
79,-39.623944631175604,0.0004628896713256836,-31.043095968022328,0.0005666494369506836
80,-38.921715650212,0.0004681825637817383,-33.312403424554404,0.0005582571029663086
81,-37.171066359390714,0.00047411918640136717,-32.60006621536262,0.0005553483963012696
82,-38.45185467301657,0.00046677589416503905,-31.566009367481136,0.0005610227584838867
83,-40.42439042145046,0.00046358108520507815,-31.877764507402826,0.0005649328231811523
84,-40.550637160184735,0.0004731416702270508,-31.519321619176832,0.0005614280700683594
85,-39.73039841651967,0.00046074390411376953,-30.98322487225401,0.0005510091781616211
86,-39.23509427688984,0.00046019554138183595,-33.98001231405002,0.0005588054656982422
87,-37.685966921988694,0.00046474933624267577,-31.969887273617246,0.0005623817443847657
88,-39.68381809860737,0.0004619598388671875,-30.8029818749051,0.0005633354187011719
89,-38.48126013385455,0.00047430992126464846,-32.80526251121168,0.0005574941635131836
90,-39.77883547597496,0.0004580259323120117,-33.39463868017082,0.0005536079406738281
91,-40.12737292140876,0.00046265125274658203,-30.226082355196034,0.000553297996520996
92,-40.18651938676895,0.00046694278717041016,-30.62054856582467,0.000560760498046875
93,-40.498982736591614,0.0004627704620361328,-31.273798365632068,0.0005626916885375976
94,-40.33627407366645,0.00046720504760742185,-31.27920752605961,0.0005582094192504883
95,-36.93135500367337,0.0004696369171142578,-32.6158387014787,0.0005614995956420898
96,-37.53158045177596,0.0004674673080444336,-31.559417693749122,0.0005622625350952149
97,-39.403605559254416,0.0004668235778808594,-31.25755006442546,0.0005615711212158203
98,-38.09796660706468,0.0004675626754760742,-30.964156549271916,0.0005521535873413086
99,-37.99316486797285,0.00046370029449462893,-30.879332155003443,0.0005584716796875
100,-38.34283205287807,0.00046150684356689454,-30.986520709120015,0.0005561113357543945
101,-38.189054527043,0.0004636049270629883,-29.36818906280009,0.0005498886108398438
102,-40.31462437873325,0.00046367645263671874,-31.55353271823106,0.0005573749542236329
103,-39.359996813536426,0.0004636049270629883,-32.53030760899628,0.0005658149719238281
104,-38.605838405829445,0.00046117305755615233,-32.54019511959429,0.0005596637725830078
105,-40.46085234564134,0.00047001838684082033,-33.12690516173138,0.0005615472793579102
106,-38.65571304892071,0.00047042369842529295,-33.81036352551306,0.0005547523498535157
107,-38.98551183108162,0.00046489238739013674,-30.399810666982926,0.0005641698837280274
108,-40.84589281191877,0.00045385360717773435,-33.22428319341993,0.0005585670471191407
109,-40.853709118357536,0.0004638195037841797,-33.155231285267526,0.00055999755859375
110,-39.614458346290434,0.00046279430389404295,-32.59080841480855,0.0005671262741088867
111,-39.94156055940727,0.00046668052673339846,-32.60265535401468,0.0005571365356445313
112,-38.34179569495492,0.0004709482192993164,-32.164566348824344,0.0005553722381591797
113,-40.04697798682818,0.0004709959030151367,-32.64079199997886,0.0005650043487548829
114,-40.69655728292828,0.00046226978302001955,-32.74217256674736,0.0005579471588134765
115,-38.47526772794448,0.00046546459197998046,-32.13631721345819,0.0005650043487548829
116,-37.42376604383706,0.0004628896713256836,-32.85524609638198,0.0005644559860229492
117,-39.591010938661185,0.00045959949493408204,-30.918525489877236,0.0005586147308349609
118,-38.75371841898977,0.00046100616455078123,-31.69493237140184,0.0005604505538940429
119,-41.261607491767776,0.0004603862762451172,-32.350771309861315,0.0005566358566284179
120,-40.01101369327249,0.0004669904708862305,-32.23691409384275,0.000567770004272461
121,-38.35632475619367,0.00047311782836914065,-32.18041582311042,0.000554656982421875
122,-39.79427981406888,0.000461268424987793,-32.80785164986374,0.0005581855773925781
123,-41.71186530204365,0.0004649639129638672,-34.9806417492612,0.0005578279495239257
124,-38.29874360871908,0.0004611015319824219,-29.67162398350506,0.0005612850189208984
125,-42.44326069585314,0.000470733642578125,-34.980641749261196,0.0005625724792480469
126,-39.71399619323079,0.0004608154296875,-33.22498989163387,0.0005604743957519532
127,-40.18891636728692,0.0004593372344970703,-33.26171314117017,0.0005603790283203125
128,-40.16230236872834,0.0004650115966796875,-31.846219535170654,0.0005614995956420898
129,-39.292803158614056,0.0004719972610473633,-32.08303779142187,0.0005593061447143555
130,-40.22867261665677,0.00046384334564208984,-32.81491913868628,0.000554203987121582
131,-39.34332784273575,0.0004557132720947266,-31.578486016731215,0.0005623340606689453
132,-41.80473300252382,0.00046608448028564455,-34.41621887880221,0.0005559444427490235
133,-41.76833313055396,0.00046384334564208984,-34.48856662382061,0.0005569934844970703
134,-41.88696825814023,0.0004616975784301758,-35.012186721493364,0.0005640745162963867
135,-40.563625488913715,0.00046737194061279296,-33.020682286639584,0.0005574941635131836
136,-38.24801120593254,0.00046470165252685545,-30.814282781930995,0.000551915168762207
137,-38.677765481253786,0.0004696846008300781,-32.71643558186326,0.0005686283111572266
138,-41.17534788552676,0.0004638195037841797,-34.37212026914999,0.0005590915679931641
139,-42.641871600112964,0.0004619598388671875,-34.082988269887224,0.0005565643310546875
140,-42.7769694915221,0.00046405792236328127,-35.06209331849369,0.0005547523498535157
141,-43.27918956955563,0.0004711627960205078,-33.74194132740461,0.0005597829818725586
142,-42.033101331813,0.0004668474197387695,-34.428695528052295,0.0005591630935668946
143,-42.55229973649879,0.0004614114761352539,-35.03384418312753,0.000552225112915039
144,-40.47476420686396,0.0004687309265136719,-33.70317497139649,0.0005593299865722656
