var,weight
1,0.00020408028
2,0.51242214
3,0.009855268
4,5.062069e-5
5,0.43409458
6,7.184386e-5
7,0.0062800455
8,3.6472713e-5
9,0.0005062197
10,0.001961329
11,2.7044342e-5
12,0.009138676
13,0.0010935968
14,0.0049463934
15,0.0006660948
16,0.001234032
17,0.011333189
18,0.0055731535
19,0.0005051428
