var,weight
1,7.530498e-9
2,0.99999714
3,4.3227696e-12
4,1.4168465e-11
5,2.3774012e-11
6,5.5496254e-12
7,3.010319e-11
8,3.9038267e-10
9,2.2296076e-11
10,1.7444113e-10
11,7.708509e-8
12,3.2586989e-9
13,1.5827318e-9
14,1.8567117e-9
15,3.2375325e-11
16,2.5493573e-8
17,2.7834974e-6
18,2.8878868e-11
19,3.7889056e-9
